FECHA,Year,Month,Zona,PromDiario,Max,Min,Indice,Clase
2019-04-03,2019,4,SE,53.0,130.0,9.0,68.294,Regular
2019-04-03,2019,4,SO,28.0,65.0,4.0,35.0,Buena
2019-04-04,2019,4,CE,52.0,92.0,23.0,66.853,Regular
2019-04-04,2019,4,NE,66.0,134.0,35.0,87.029,Regular
2019-04-04,2019,4,NO,56.0,105.0,11.0,72.618,Regular
2019-04-04,2019,4,SE,75.0,136.0,35.0,100.0,Regular
2019-04-04,2019,4,SO,39.0,67.0,20.0,48.75,Buena
2019-04-05,2019,4,CE,62.0,102.0,34.0,81.265,Regular
2019-04-05,2019,4,NE,69.0,114.0,28.0,91.353,Regular
2019-04-05,2019,4,NO,62.0,118.0,14.0,81.265,Regular
2019-04-05,2019,4,SE,72.0,119.0,22.0,95.676,Regular
2019-04-05,2019,4,SO,56.0,88.0,35.0,72.618,Regular
2019-04-06,2019,4,CE,22.0,47.0,7.0,27.5,Buena
2019-04-06,2019,4,NE,24.0,68.0,2.0,30.0,Buena
2019-04-06,2019,4,NO,21.0,68.0,1.0,26.25,Buena
2019-04-06,2019,4,SE,24.0,91.0,1.0,30.0,Buena
2019-04-06,2019,4,SO,14.0,30.0,5.0,17.5,Buena
2019-04-07,2019,4,CE,38.0,83.0,11.0,47.5,Buena
2019-04-07,2019,4,NE,48.0,144.0,12.0,61.088,Regular
2019-04-07,2019,4,NO,41.0,92.0,7.0,51.0,Regular
2019-04-07,2019,4,SE,39.0,69.0,22.0,48.75,Buena
2019-04-07,2019,4,SO,35.0,73.0,7.0,43.75,Buena
2019-04-08,2019,4,CE,26.0,65.0,4.0,32.5,Buena
2019-04-08,2019,4,NE,30.0,78.0,11.0,37.5,Buena
2019-04-08,2019,4,NO,31.0,87.0,2.0,38.75,Buena
2019-04-08,2019,4,SE,28.0,71.0,1.0,35.0,Buena
2019-04-08,2019,4,SO,27.0,55.0,9.0,33.75,Buena
2019-04-09,2019,4,CE,33.0,65.0,9.0,41.25,Buena
2019-04-09,2019,4,NE,48.0,132.0,7.0,61.088,Regular
2019-04-09,2019,4,NO,43.0,115.0,5.0,53.882,Regular
2019-04-09,2019,4,SE,36.0,118.0,4.0,45.0,Buena
2019-04-09,2019,4,SO,26.0,54.0,8.0,32.5,Buena
2019-04-10,2019,4,CE,25.0,61.0,8.0,31.25,Buena
2019-04-10,2019,4,NE,30.0,61.0,6.0,37.5,Buena
2019-04-10,2019,4,NO,29.0,83.0,3.0,36.25,Buena
2019-04-10,2019,4,SE,26.0,85.0,5.0,32.5,Buena
2019-04-10,2019,4,SO,23.0,55.0,3.0,28.75,Buena
2019-04-11,2019,4,CE,40.0,81.0,15.0,50.0,Buena
2019-04-11,2019,4,NE,44.0,108.0,4.0,55.324,Regular
2019-04-11,2019,4,NO,34.0,98.0,3.0,42.5,Buena
2019-04-11,2019,4,SE,42.0,68.0,19.0,52.441,Regular
2019-04-11,2019,4,SO,32.0,71.0,8.0,40.0,Buena
2019-04-12,2019,4,CE,50.0,99.0,17.0,63.971,Regular
2019-04-12,2019,4,NE,70.0,155.0,16.0,92.794,Regular
2019-04-12,2019,4,NO,47.0,123.0,13.0,59.647,Regular
2019-04-12,2019,4,SE,60.0,98.0,22.0,78.382,Regular
2019-04-12,2019,4,SO,35.0,77.0,8.0,43.75,Buena
2019-04-13,2019,4,CE,45.0,94.0,12.0,56.765,Regular
2019-04-13,2019,4,NE,57.0,121.0,29.0,74.059,Regular
2019-04-13,2019,4,NO,46.0,122.0,9.0,58.206,Regular
2019-04-13,2019,4,SE,76.0,111.0,20.0,101.0,Mala
2019-04-13,2019,4,SO,37.0,74.0,9.0,46.25,Buena
2019-04-14,2019,4,CE,77.0,113.0,42.0,101.355,Mala
2019-04-14,2019,4,NE,82.0,149.0,32.0,103.13,Mala
2019-04-14,2019,4,NO,68.0,111.0,31.0,89.912,Regular
2019-04-14,2019,4,SE,95.0,138.0,53.0,107.746,Mala
2019-04-14,2019,4,SO,60.0,87.0,29.0,78.382,Regular
2019-04-15,2019,4,CE,73.0,99.0,43.0,97.118,Regular
2019-04-15,2019,4,NE,84.0,161.0,45.0,103.841,Mala
2019-04-15,2019,4,NO,77.0,123.0,29.0,101.355,Mala
2019-04-15,2019,4,SE,86.0,134.0,39.0,104.551,Mala
2019-04-15,2019,4,SO,66.0,88.0,37.0,87.029,Regular
2019-04-16,2019,4,CE,63.0,94.0,35.0,82.706,Regular
2019-04-16,2019,4,NE,76.0,142.0,46.0,101.0,Mala
2019-04-16,2019,4,NO,69.0,119.0,31.0,91.353,Regular
2019-04-16,2019,4,SE,74.0,127.0,44.0,98.559,Regular
2019-04-16,2019,4,SO,55.0,89.0,33.0,71.176,Regular
2019-04-17,2019,4,CE,62.0,99.0,26.0,81.265,Regular
2019-04-17,2019,4,NE,78.0,142.0,27.0,101.71,Mala
2019-04-17,2019,4,NO,57.0,101.0,21.0,74.059,Regular
2019-04-17,2019,4,SE,80.0,120.0,55.0,102.42,Mala
2019-04-17,2019,4,SO,45.0,77.0,17.0,56.765,Regular
2019-04-18,2019,4,CE,48.0,106.0,14.0,61.088,Regular
2019-04-18,2019,4,NE,61.0,130.0,7.0,79.824,Regular
2019-04-18,2019,4,NO,45.0,108.0,7.0,56.765,Regular
2019-04-18,2019,4,SO,38.0,82.0,10.0,47.5,Buena
2019-04-19,2019,4,CE,45.0,76.0,20.0,56.765,Regular
2019-04-19,2019,4,NE,43.0,84.0,7.0,53.882,Regular
2019-04-19,2019,4,NO,41.0,72.0,16.0,51.0,Regular
2019-04-19,2019,4,SE,56.0,84.0,6.0,72.618,Regular
2019-04-19,2019,4,SO,46.0,81.0,21.0,58.206,Regular
2019-04-20,2019,4,CE,39.0,75.0,16.0,48.75,Buena
2019-04-20,2019,4,NE,46.0,105.0,4.0,58.206,Regular
2019-04-20,2019,4,NO,39.0,72.0,13.0,48.75,Buena
2019-04-20,2019,4,SE,54.0,139.0,7.0,69.735,Regular
2019-04-20,2019,4,SO,43.0,78.0,18.0,53.882,Regular
2019-04-21,2019,4,CE,51.0,82.0,25.0,65.412,Regular
2019-04-21,2019,4,NE,58.0,117.0,26.0,75.5,Regular
2019-04-21,2019,4,NO,47.0,117.0,10.0,59.647,Regular
2019-04-21,2019,4,SE,72.0,127.0,39.0,95.676,Regular
2019-04-21,2019,4,SO,39.0,72.0,21.0,48.75,Buena
2019-04-22,2019,4,CE,58.0,109.0,31.0,75.5,Regular
2019-04-22,2019,4,NE,68.0,163.0,30.0,89.912,Regular
2019-04-22,2019,4,NO,56.0,107.0,30.0,72.618,Regular
2019-04-22,2019,4,SE,74.0,136.0,16.0,98.559,Regular
2019-04-22,2019,4,SO,48.0,81.0,18.0,61.088,Regular
2019-04-23,2019,4,CE,66.0,101.0,32.0,87.029,Regular
2019-04-23,2019,4,NE,76.0,157.0,23.0,101.0,Mala
2019-04-23,2019,4,NO,67.0,116.0,29.0,88.471,Regular
2019-04-23,2019,4,SE,75.0,119.0,33.0,100.0,Regular
2019-04-23,2019,4,SO,48.0,84.0,23.0,61.088,Regular
2019-04-24,2019,4,CE,68.0,108.0,26.0,89.912,Regular
2019-04-24,2019,4,NE,74.0,115.0,28.0,98.559,Regular
2019-04-24,2019,4,NO,62.0,116.0,31.0,81.265,Regular
2019-04-24,2019,4,SE,78.0,131.0,38.0,101.71,Mala
2019-04-24,2019,4,SO,51.0,86.0,26.0,65.412,Regular
2019-04-25,2019,4,CE,65.0,104.0,36.0,85.588,Regular
2019-04-25,2019,4,NE,74.0,126.0,20.0,98.559,Regular
2019-04-25,2019,4,NO,68.0,108.0,28.0,89.912,Regular
2019-04-25,2019,4,SE,79.0,125.0,10.0,102.065,Mala
2019-04-25,2019,4,SO,52.0,89.0,9.0,66.853,Regular
2019-04-26,2019,4,CE,62.0,93.0,30.0,81.265,Regular
2019-04-26,2019,4,NE,64.0,116.0,31.0,84.147,Regular
2019-04-26,2019,4,NO,64.0,110.0,18.0,84.147,Regular
2019-04-26,2019,4,SE,70.0,102.0,10.0,92.794,Regular
2019-04-26,2019,4,SO,55.0,86.0,24.0,71.176,Regular
2019-04-27,2019,4,CE,64.0,101.0,29.0,84.147,Regular
2019-04-27,2019,4,NE,73.0,114.0,40.0,97.118,Regular
2019-04-27,2019,4,NO,65.0,124.0,22.0,85.588,Regular
2019-04-27,2019,4,SE,83.0,140.0,44.0,103.486,Mala
2019-04-27,2019,4,SO,55.0,86.0,31.0,71.176,Regular
2019-04-28,2019,4,CE,64.0,95.0,37.0,84.147,Regular
2019-04-28,2019,4,NE,62.0,101.0,25.0,81.265,Regular
2019-04-28,2019,4,NO,64.0,109.0,27.0,84.147,Regular
2019-04-28,2019,4,SE,79.0,129.0,25.0,102.065,Mala
2019-04-28,2019,4,SO,52.0,80.0,32.0,66.853,Regular
2019-04-29,2019,4,CE,61.0,95.0,23.0,79.824,Regular
2019-04-29,2019,4,NE,65.0,110.0,24.0,85.588,Regular
2019-04-29,2019,4,NO,60.0,123.0,4.0,78.382,Regular
2019-04-29,2019,4,SO,52.0,86.0,24.0,66.853,Regular
2019-04-30,2019,4,CE,48.0,96.0,7.0,61.088,Regular
2019-04-30,2019,4,NE,48.0,96.0,7.0,61.088,Regular
2019-04-30,2019,4,NO,48.0,125.0,1.0,61.088,Regular
2019-04-30,2019,4,SO,37.0,76.0,6.0,46.25,Buena
2019-05-01,2019,5,CE,73.0,114.0,45.0,97.118,Regular
2019-05-01,2019,5,NE,74.0,160.0,22.0,98.559,Regular
2019-05-01,2019,5,NO,61.0,112.0,22.0,79.824,Regular
2019-05-01,2019,5,SE,70.0,98.0,24.0,92.794,Regular
2019-05-01,2019,5,SO,51.0,76.0,28.0,65.412,Regular
2019-05-02,2019,5,CE,66.0,105.0,36.0,87.029,Regular
2019-05-02,2019,5,NE,76.0,153.0,14.0,101.0,Mala
2019-05-02,2019,5,NO,56.0,108.0,15.0,72.618,Regular
2019-05-02,2019,5,SE,75.0,136.0,46.0,100.0,Regular
2019-05-02,2019,5,SO,40.0,78.0,21.0,50.0,Buena
2019-05-03,2019,5,CE,45.0,94.0,11.0,56.765,Regular
2019-05-03,2019,5,NE,60.0,161.0,16.0,78.382,Regular
2019-05-03,2019,5,NO,43.0,115.0,4.0,53.882,Regular
2019-05-03,2019,5,SE,52.0,138.0,7.0,66.853,Regular
2019-05-03,2019,5,SO,26.0,58.0,7.0,32.5,Buena
2019-05-04,2019,5,CE,56.0,96.0,33.0,72.618,Regular
2019-05-04,2019,5,NE,68.0,158.0,37.0,89.912,Regular
2019-05-04,2019,5,NO,57.0,118.0,21.0,74.059,Regular
2019-05-04,2019,5,SE,67.0,124.0,35.0,88.471,Regular
2019-05-04,2019,5,SO,45.0,69.0,14.0,56.765,Regular
2019-05-05,2019,5,CE,53.0,75.0,26.0,68.294,Regular
2019-05-05,2019,5,NE,62.0,105.0,39.0,81.265,Regular
2019-05-05,2019,5,NO,58.0,106.0,17.0,75.5,Regular
2019-05-05,2019,5,SE,63.0,121.0,3.0,82.706,Regular
2019-05-05,2019,5,SO,50.0,84.0,12.0,63.971,Regular
2019-05-06,2019,5,CE,18.0,44.0,3.0,22.5,Buena
2019-05-06,2019,5,NE,26.0,76.0,2.0,32.5,Buena
2019-05-06,2019,5,NO,24.0,85.0,3.0,30.0,Buena
2019-05-06,2019,5,SO,16.0,27.0,5.0,20.0,Buena
2019-05-07,2019,5,CE,41.0,112.0,6.0,51.0,Regular
2019-05-07,2019,5,NE,56.0,113.0,22.0,72.618,Regular
2019-05-07,2019,5,NO,40.0,83.0,12.0,50.0,Buena
2019-05-07,2019,5,SE,39.0,78.0,17.0,48.75,Buena
2019-05-07,2019,5,SO,37.0,83.0,9.0,46.25,Buena
2019-05-08,2019,5,CE,23.0,50.0,10.0,28.75,Buena
2019-05-08,2019,5,NE,34.0,96.0,12.0,42.5,Buena
2019-05-08,2019,5,NO,25.0,57.0,2.0,31.25,Buena
2019-05-08,2019,5,SE,19.0,30.0,4.0,23.75,Buena
2019-05-08,2019,5,SO,21.0,41.0,3.0,26.25,Buena
2019-05-09,2019,5,CE,30.0,62.0,5.0,37.5,Buena
2019-05-09,2019,5,NE,38.0,93.0,8.0,47.5,Buena
2019-05-09,2019,5,NO,37.0,95.0,2.0,46.25,Buena
2019-05-09,2019,5,SE,34.0,87.0,4.0,42.5,Buena
2019-05-09,2019,5,SO,31.0,84.0,12.0,38.75,Buena
2019-05-10,2019,5,CE,27.0,55.0,10.0,33.75,Buena
2019-05-10,2019,5,NE,33.0,84.0,8.0,41.25,Buena
2019-05-10,2019,5,NO,31.0,84.0,8.0,38.75,Buena
2019-05-10,2019,5,SE,27.0,67.0,4.0,33.75,Buena
2019-05-10,2019,5,SO,25.0,47.0,10.0,31.25,Buena
2019-05-11,2019,5,CE,40.0,77.0,6.0,50.0,Buena
2019-05-11,2019,5,NE,46.0,149.0,10.0,58.206,Regular
2019-05-11,2019,5,NO,32.0,93.0,1.0,40.0,Buena
2019-05-11,2019,5,SE,37.0,104.0,7.0,46.25,Buena
2019-05-11,2019,5,SO,25.0,75.0,1.0,31.25,Buena
2019-05-12,2019,5,CE,60.0,100.0,21.0,78.382,Regular
2019-05-12,2019,5,NE,76.0,135.0,12.0,101.0,Mala
2019-05-12,2019,5,NO,53.0,116.0,6.0,68.294,Regular
2019-05-12,2019,5,SE,63.0,135.0,7.0,82.706,Regular
2019-05-12,2019,5,SO,37.0,71.0,5.0,46.25,Buena
2019-05-13,2019,5,NE,108.0,159.0,57.0,112.362,Mala
2019-05-14,2019,5,CE,85.0,109.0,50.0,104.196,Mala
2019-05-14,2019,5,NE,113.0,153.0,81.0,114.138,Mala
2019-05-14,2019,5,NO,73.0,121.0,27.0,97.118,Regular
2019-05-14,2019,5,SE,103.0,131.0,78.0,110.587,Mala
2019-05-14,2019,5,SO,67.0,87.0,45.0,88.471,Regular
2019-05-15,2019,5,NE,93.0,161.0,56.0,107.036,Mala
2019-05-15,2019,5,NO,78.0,122.0,32.0,101.71,Mala
2019-05-15,2019,5,SO,56.0,87.0,16.0,72.618,Regular
2019-05-16,2019,5,NE,83.0,161.0,30.0,103.486,Mala
2019-05-16,2019,5,NO,71.0,120.0,34.0,94.235,Regular
2019-05-16,2019,5,SE,79.0,133.0,8.0,102.065,Mala
