FECHA,Year,Month,Zona,PromDiario,Max,Min,Indice,Clase
2019-03-31,2019,3,SO,26.9,55.0,13.0,33.625,Buena
2019-04-01,2019,4,CE,31.8,54.0,7.0,39.75,Buena
2019-04-01,2019,4,NE,32.7,64.0,5.0,40.875,Buena
2019-04-01,2019,4,NO,34.3,51.0,22.0,42.875,Buena
2019-04-01,2019,4,SE,25.0,53.0,2.0,31.25,Buena
2019-04-01,2019,4,SO,23.9,48.0,4.0,29.875,Buena
2019-04-02,2019,4,CE,28.0,50.0,12.0,35.0,Buena
2019-04-02,2019,4,NE,29.5,63.0,7.0,36.875,Buena
2019-04-02,2019,4,NO,28.0,44.0,12.0,35.0,Buena
2019-04-02,2019,4,SE,23.9,42.0,9.0,29.875,Buena
2019-04-02,2019,4,SO,20.1,43.0,6.0,25.125,Buena
2019-04-03,2019,4,CE,20.0,45.0,2.0,25.0,Buena
2019-04-03,2019,4,NE,22.5,47.0,2.0,28.125,Buena
2019-04-03,2019,4,NO,18.8,47.0,3.0,23.5,Buena
2019-04-03,2019,4,SE,20.1,42.0,2.0,25.125,Buena
2019-04-03,2019,4,SO,14.2,34.0,1.0,17.75,Buena
2019-04-04,2019,4,CE,30.0,52.0,18.0,37.5,Buena
2019-04-04,2019,4,NE,33.8,64.0,12.0,42.25,Buena
2019-04-04,2019,4,NO,32.0,59.0,14.0,40.0,Buena
2019-04-04,2019,4,SE,42.5,67.0,24.0,53.162,Regular
2019-04-04,2019,4,SO,25.0,45.0,12.0,31.25,Buena
2019-04-05,2019,4,CE,39.2,58.0,23.0,49.0,Buena
2019-04-05,2019,4,NE,39.7,64.0,13.0,49.625,Buena
2019-04-05,2019,4,NO,39.7,60.0,17.0,49.625,Buena
2019-04-05,2019,4,SE,39.0,50.0,29.0,48.75,Buena
2019-04-05,2019,4,SO,37.6,54.0,23.0,47.0,Buena
2019-04-06,2019,4,CE,12.8,33.0,3.0,16.0,Buena
2019-04-06,2019,4,NE,11.6,35.0,1.0,14.5,Buena
2019-04-06,2019,4,SE,9.8,35.0,1.0,12.25,Buena
2019-04-06,2019,4,SO,7.9,21.0,1.0,9.875,Buena
2019-04-07,2019,4,CE,24.3,55.0,3.0,30.375,Buena
2019-04-07,2019,4,NE,22.6,48.0,5.0,28.25,Buena
2019-04-07,2019,4,NO,25.3,54.0,1.0,31.625,Buena
2019-04-07,2019,4,SE,24.4,47.0,2.0,30.5,Buena
2019-04-07,2019,4,SO,21.3,49.0,6.0,26.625,Buena
2019-04-08,2019,4,CE,18.5,41.0,3.0,23.125,Buena
2019-04-08,2019,4,NE,15.7,29.0,4.0,19.625,Buena
2019-04-08,2019,4,NO,23.8,47.0,5.0,29.75,Buena
2019-04-08,2019,4,SE,17.7,32.0,3.0,22.125,Buena
2019-04-08,2019,4,SO,20.2,43.0,9.0,25.25,Buena
2019-04-09,2019,4,CE,17.8,33.0,5.0,22.25,Buena
2019-04-09,2019,4,NE,19.2,38.0,1.0,24.0,Buena
2019-04-09,2019,4,SE,17.2,39.0,4.0,21.5,Buena
2019-04-09,2019,4,SO,16.2,27.0,4.0,20.25,Buena
2019-04-10,2019,4,CE,14.8,45.0,1.0,18.5,Buena
2019-04-10,2019,4,NE,11.1,36.0,2.0,13.875,Buena
2019-04-10,2019,4,NO,17.0,55.0,3.0,21.25,Buena
2019-04-10,2019,4,SE,15.0,47.0,2.0,18.75,Buena
2019-04-10,2019,4,SO,14.1,40.0,1.0,17.625,Buena
2019-04-11,2019,4,CE,28.5,57.0,10.0,35.625,Buena
2019-04-11,2019,4,NE,22.0,66.0,6.0,27.5,Buena
2019-04-11,2019,4,NO,24.5,50.0,1.0,30.625,Buena
2019-04-11,2019,4,SE,26.7,48.0,3.0,33.375,Buena
2019-04-11,2019,4,SO,20.6,49.0,3.0,25.75,Buena
2019-04-12,2019,4,CE,22.6,46.0,7.0,28.25,Buena
